Muscle,Body Part
Hamstrings (below knees),Calves
"Erector Spinae, Cervicis & Capitis Fibers",Back
Triceps Brachii,Upper Arms
Gracilis,Thighs
"Pectoralis Major, Sternal",Chest
Adductor Longus,Thighs
Psoas major,Hips
Hip External Rotators,Hips
Pectoralis Major,Chest
Supinator,Forearms
Triceps brachii,Upper Arms
Hamstrings (top half),Hips
Pectoralis major (sternal head),Chest
"Trapezius, Lower (lower angles)",Back
Infraspinatus,Shoulders
"Triceps, Long Head",Upper Arms
Gastrocnemius (Lead Leg),Calves
Quadratus femoris,Thighs
Brachioradialis,Forearms
Tensor Fasciae Latae,Hips
Iliocastalis thoracis,Back
Adductor Magnus (lead leg),Thighs
"Deltoid, Anterior",Shoulders
Gastrocnemius (First Leg),Calves
Triceps (supporting arm),Upper Arms
"Serratus Anterior, Inferior Digitations",Chest
Iliocastalis Lumborum,Back
"Gluteus medius, posterior fibers",Hips
Quadriceps (extended leg),Thighs
Iliopsoas,Waist
Quadratus Lumborum,Waist
Obturator internus,Hips
Neck,Neck
"Gluteus Maximus, Lower Fibers",Hips
Aductor Brevis,Thighs
Triceps Brachii (opposite Arm),Upper Arms
Triceps,Upper Arms
Soleus,Calves
"Pectoralis Major, Clavicular",Chest
Adductor Brevis,Thighs
Gemellus inferior,Hips
Gluteus Minimus,Hips
Pectoralis minor,Chest
Hip Abductors (opposite),Hips
Wrist/Finger Flexors,Forearms
"Adductors, Hip (opposite side of rotating direction)",Hips
"Adductors, Hip (side of rotating direction)",Hips
"Quadratus
Lumborum",Waist
Gastrocnemius (first leg),Calves
Gastrocnemius (lead leg),Calves
Erector Spinae,Back
Sartorius,Thighs
Triceps Long Head,Upper Arms
Gemellus superior,Hips
Gluteus Maximus (opposite leg),Hips
Hamstrings (bottom half),Thigs
Iliocastalis lumborum,Back
"Trapezius, Middle",Back
Hip External Rotators,Hips
Wrist Flexors,Forearms
Pronators,Forearms
Hip Adductors,Thighs
"Pectoralis
Major, Sternal",Chest
Supraspinatus,Shoulders
"Biceps Brachii, Short Head",Upper Arms
Obturator externus,Hips
Piriformis,Hips
Rectus Femoris,Thighs
Biceps Brachii (during supination),Upper Arms
Gluteus medius,Hips
Sternocleidomastoid,Neck
Rectus capitus,Neck
Transverse Abdominis,Waist
Piriformis (opposite leg),Hips
Gluteus Maximus (opposite leg only),Hips
"Deltoid, Posterior",Shoulders
Gastrocnemius (Following Leg),Calves
"Trapezius, Upper",Back
Popliteus,Calves
Erector Spinae,Back
Flexor Carpi Radialis,Forearms
"Trapezius, Upper",Back
Hip Internal Rotators,Back
Gastrocnemius (following leg),Calves
"Adductors, Hip",Hips
"Adductors, Hip (opposite)",Hips
Pectoralis Minor,Chest
"General, Back",Back
Biceps Brachii,Upper Arms
Hamstrings,Thighs
"Trapezius, Upper (higher angles)",Back
Latissimus dorsi,Back
"Sternocleidomastoid, Posterior Fibers",Neck
Gluteus Maximus (lifted leg),Hips
Latissimus Dorsi,Back
Iliocastalis Thoracis,Back
Quadriceps (rear leg),Thighs
Tensor fasciae latae,Hips
Quadratus lumborum,Waist
Flexor Carpi Ulnaris,Forearms
Gluteus maximus,Hips
Serratus Anterior,Chest
"Tensor Fasciae
Latae",Hips
Teres Major,Shoulders
Gluteus minimus,Hips
Gastrocnemius (second leg),Calves
Gastrocnemius (Second Leg),Calves
Hip Flexors,Hips
Obliques,Waist
Quadriceps,Thighs
Longus colli,neck
Subscapularis,Shoulders
"Pectoralis
Major, Clavicular",Chest
Gluteus Maximus (supporting leg),Hips
Wrist Extensors,Forearms
Gluteus Maximus,Hips
Extensor Carpi Radialis,Forearms
Splenius,Neck
Triceps Supporting Arm,Upper Arms
"Back, General",Back
Hamstrings (above knees),Thighs
Levator Scapulae,Neck
Adductor Magnus,Thighs
Tibialis Anterior,Calves
Adductors (extended leg),Thighs
Hip Abductors (opposite leg),Hips
Rectus abdominis,Waist
Rectus Femoris,Thighs
Psoas Major,Waist
"Deltoid, Lateral",Shoulders
"Deltoid, Anterior",Shoulders
Brachialis,Upper Arms
Hip Abductors,Hips
"Trapezius, Lower",Back
Extensor Carpi Ulnaris,Forearms
"Gluteus minimus, anterior fibers",Hips
Triceps (Supporting Arm),Upper Arms
Pectineus,Thighs
Gluteus Medius,Hips
Teres Minor,Shoulders
"Trapezius, Upper",Back
Gastrocnemius,Calves
Rhomboids,Back
Longus capitis,Neck
Triceps Brachii (supporting arm),Upper Arms
Forearm Pronators,Forearms
Rectus Abdominis,Waist
"Gluteus Maximus, lower fibers",Hips
Pectoralis major,Chest
Forearm Supinators,Forearms